name,gender,births
Marguerite,F,33095
Janine,F,33053
Jazmine,F,33042
Celia,F,32968
Rachelle,F,32960
Shawn,F,32905
Jayla,F,32682
Tracie,F,32448
Kyra,F,32390
Ada,F,32372
Sasha,F,32299
Ivy,F,32227
Christa,F,32193
Alisa,F,32189
Trina,F,32131
Aurora,F,31980
Tia,F,31958
Ciara,F,31914
Alaina,F,31840
Keri,F,31784
Katharine,F,31718
Lucia,F,31551
Mayra,F,31476
Tatiana,F,31331
Diamond,F,31288
Kasey,F,31239
Ashleigh,F,31213
Charity,F,31172
Marisol,F,31155
Kira,F,30947
Madeleine,F,30946
Mariana,F,30913
Mckenna,F,30871
Chelsey,F,30702
Lucinda,F,30470
Delaney,F,30450
Scarlett,F,30438
Kassandra,F,30373
Verna,F,30319
Johnnie,F,30281
Asia,F,30192
Latasha,F,30150
Gertrude,F,30114
Daphne,F,29756
Eliza,F,29686
Aliyah,F,29457
Cherie,F,29404
Olga,F,29366
Della,F,29352
Dena,F,29337
Shana,F,29294
Allie,F,29279
Leila,F,29133
Jolene,F,29120
Hattie,F,29092
Debora,F,29038
Harper,F,29028
Alberta,F,29023
Dina,F,29007
Randi,F,28920
Janette,F,28874
Therese,F,28782
Deloris,F,28658
Cathleen,F,28627
Leanne,F,28499
Shayla,F,28387
Katelynn,F,28317
Myrna,F,28244
Shanna,F,28122
Karin,F,28090
Hillary,F,27982
Julianne,F,27969
Candy,F,27950
Joni,F,27919
Shauna,F,27848
Noelle,F,27771
Lea,F,27580
Fatima,F,27395
Savanna,F,27348
Carissa,F,27296
Tania,F,27187
Brenna,F,26953
Ernestine,F,26905
Cierra,F,26811
Sondra,F,26769
Piper,F,26636
Dakota,F,26601
Jodie,F,26426
Alyson,F,26312
Myrtle,F,26248
Gwen,F,26229
Laila,F,26038
Angelique,F,26032
Kayleigh,F,25976
Flora,F,25781
Jayne,F,25610
Francesca,F,25490
Macy,F,25479
Khloe,F,25462
Staci,F,25402
Haylee,F,25383
Jenifer,F,25296
Lara,F,25148
Delia,F,25106
Antonia,F,25041
Lula,F,25033
Cameron,F,24961
Susanne,F,24738
Trudy,F,24658
Mollie,F,24507
Laverne,F,24403
Delilah,F,24391
Tiana,F,24105
Daniella,F,24083
Eloise,F,24029
Rena,F,23989
Blanca,F,23976
London,F,23945
Taryn,F,23905
Eden,F,23892
Ingrid,F,23842
Keira,F,23832
Fannie,F,23782
Hilary,F,23702
Leann,F,23669
Aileen,F,23608
Makenna,F,23477
Erma,F,23396
Chasity,F,23384
Bobbi,F,23362
Reese,F,23345
Luz,F,23341
Jeanine,F,23298
Lou,F,23159
Eliana,F,23149
Brooklynn,F,23128
Paris,F,23089
Deana,F,23008
Maribel,F,23000
Lorna,F,22923
Lizbeth,F,22906
Simone,F,22872
Kailey,F,22835
Kenya,F,22761
Chris,F,22731
Tiara,F,22717
Kiana,F,22713
Ericka,F,22696
Helena,F,22689
Tamika,F,22684
Bridgette,F,22678
Aubree,F,22635
Leilani,F,22572
Phoebe,F,22570
Alina,F,22468
Jeri,F,22408
Margo,F,22345
Jewel,F,22299
Athena,F,22268
Jeannine,F,22188
Clare,F,22187
Amaya,F,22175
Sheena,F,22161
Tonia,F,22059
Frankie,F,22010
Camryn,F,21961
Angelia,F,21835
Polly,F,21801
Inez,F,21765
Latonya,F,21712
Keisha,F,21693
Lorie,F,21654
Maritza,F,21654
Audra,F,21587
Larissa,F,21549
Juliet,F,21492
Talia,F,21364
Jami,F,21322
Julissa,F,21254
Mamie,F,21252
Rosalind,F,21248
Valentina,F,21193
Marcy,F,21190
Michael,F,21097
Sidney,F,21023
Heaven,F,20966
Paola,F,20954
Rene,F,20851
Leanna,F,20840
Christi,F,20816
Logan,F,20793
Darcy,F,20763
Imani,F,20684
Bettie,F,20677
Emilee,F,20580
Alivia,F,20569
Alayna,F,20496
Greta,F,20495
Freda,F,20418
Dale,F,20385
Lenora,F,20373
Ladonna,F,20347
Arielle,F,20322
Reba,F,20233
Melba,F,20199
Ryan,F,20166
Elsa,F,20111
Hallie,F,20069
India,F,20009
Mabel,F,19932
Brianne,F,19859
Terrie,F,19670
Brielle,F,19635
Devon,F,19605
Fiona,F,19604
Amie,F,19597
Helene,F,19569
Ashlynn,F,19516
Emilie,F,19388
Gale,F,19336
Adele,F,19328
Sallie,F,19253
Tabatha,F,19240
Hayden,F,19235
Jayden,F,19184
Susana,F,19148
Bette,F,19104
Skyler,F,19087
Colette,F,19078
Alanna,F,19047
Eve,F,19030
Adeline,F,19027
Tanisha,F,18945
Izabella,F,18899
Christian,F,18893
Aisha,F,18888
Glenna,F,18833
Aniyah,F,18827
Muriel,F,18805
Kali,F,18739
Karissa,F,18706
Sienna,F,18662
Henrietta,F,18578
Claudette,F,18483
Nia,F,18430
Katy,F,18421
Yasmin,F,18363
Melisa,F,18361
Noreen,F,18345
Estella,F,18333
Latisha,F,18317
Lacy,F,18277
Silvia,F,18259
Mara,F,18245
Maura,F,18194
Emilia,F,18164
Katlyn,F,18129
Alexus,F,18119
Kaylie,F,18061
Noemi,F,18060
Kiera,F,18027
Elaina,F,18003
Rosetta,F,17990
Valarie,F,17953
Brynn,F,17925
Lexi,F,17891
Precious,F,17881
Ashton,F,17860
Annmarie,F,17853
Malia,F,17844
Harley,F,17820
Saundra,F,17798
Viviana,F,17768
Kelsie,F,17752
James,F,17699
Lorene,F,17692
Eugenia,F,17651
Lyla,F,17619
Harmony,F,17609
Bettye,F,17604
Madalyn,F,17443
Opal,F,17420
Perla,F,17407
Bryanna,F,17405
Aria,F,17403
Lauryn,F,17325
Kiley,F,17321
Rosalyn,F,17314
Kimberlee,F,17254
Chandra,F,17222
Lorrie,F,17175
Hollie,F,17148
Malinda,F,17148
Juliette,F,17112
Mable,F,17101
Marley,F,17082
Araceli,F,16975
Cortney,F,16831
Sharron,F,16807
Angeline,F,16743
Deirdre,F,16586
Abbey,F,16568
Elyse,F,16505
Kamryn,F,16450
Lela,F,16447
Devin,F,16441
Robbie,F,16412
Suzette,F,16380
Gay,F,16372
Blanche,F,16222
Danna,F,16210
Tatum,F,16208
Fay,F,16171
Beulah,F,16167
Nanette,F,16143
Marta,F,16060
Kaylin,F,16016
Rae,F,16013
Baylee,F,15995
Mikaela,F,15977
Elissa,F,15914
Beatriz,F,15874
Jeanie,F,15837
Jayda,F,15836
Dulce,F,15833
Selina,F,15832
Ryleigh,F,15809
Jacklyn,F,15781
Brandie,F,15720
Cadence,F,15715
Tyler,F,15675
Kassidy,F,15659
Addie,F,15656
Janae,F,15636
Emely,F,15634
Evangeline,F,15593
Nicolette,F,15550
Esperanza,F,15542
Casandra,F,15538
Eula,F,15494
Abbie,F,15493
Nelda,F,15443
Quinn,F,15402
Skye,F,15366
Jerri,F,15347
Luann,F,15345
Robert,F,15304
Susanna,F,15290
Willow,F,15263
Destinee,F,15255
Nathalie,F,15255
Estelle,F,15210
Carley,F,15207
Deja,F,15204
Shayna,F,15171
Camilla,F,15166
Corrine,F,15165
Gillian,F,15163
Francis,F,15138
Hadley,F,15135
Annika,F,15113
Paulina,F,15112
Roseann,F,15094
Janna,F,15075
Chanel,F,15073
Cristal,F,15031
Chrystal,F,14999
Kathie,F,14997
Ruthie,F,14990
Janell,F,14989
Marcie,F,14974
Kaitlynn,F,14961
Joselyn,F,14949
Kyleigh,F,14905
Lynnette,F,14890
Dee,F,14833
Graciela,F,14794
Kierra,F,14791
John,F,14790
Nayeli,F,14790
Liza,F,14782
Mari,F,14782
Deanne,F,14775
Tiffani,F,14769
Ina,F,14749
Maddison,F,14744
Charmaine,F,14710
Chantel,F,14672
Deidre,F,14633
Corina,F,14626
Willa,F,14606
Martina,F,14599
Shania,F,14532
Adrian,F,14525
Tierra,F,14499
Regan,F,14498
Kaleigh,F,14492
Wendi,F,14461
Dorothea,F,14455
Dona,F,14428
Terra,F,14408
Sarai,F,14369
Rosalinda,F,14358
Jaqueline,F,14287
Etta,F,14248
Lia,F,14246
Jerry,F,14213
Rosanne,F,14192
Cheyanne,F,14127
Carina,F,14078
Winifred,F,14056
Melina,F,14022
Karyn,F,14019
Lyndsey,F,14017
Rhoda,F,14017
Dayna,F,14014
Tyra,F,14010
Elvira,F,14001
Jimmie,F,13950
Stephany,F,13936
Aniya,F,13935
Meaghan,F,13931
